# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "16" "-s" "2" "-a" "ref/Saccharomyces_cerevisiae.gtf" "-o" "counts.txt" "-p" "SRR19383416.bam" "SRR19383417.bam" "SRR19383418.bam" "SRR19383407.bam" "SRR19383408.bam" "SRR19383409.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR19383416.bam	SRR19383417.bam	SRR19383418.bam	SRR19383407.bam	SRR19383408.bam	SRR19383409.bam
YDL246C	IV	8683	9756	-	1074	2	2	0	2	6	2
YDL243C	IV	17577	18566	-	990	114	170	153	1318	960	1249
YDR387C	IV	1248154	1249821	-	1668	556	652	603	4217	3495	4216
YDL094C	IV	289572	290081	-	510	32	49	28	80	45	78
YDR438W	IV	1338274	1339386	+	1113	253	310	287	1262	1105	1341
YDR523C	IV	1485566	1487038	-	1473	56	75	24	63	68	69
YDR542W	IV	1523249	1523611	+	363	0	0	4	0	8	1
YDR492W	IV	1434924	1435874	+	951	1047	1452	1129	397	314	430
YDR018C	IV	482670	483860	-	1191	22	27	33	492	482	586
YDL189W	IV	122216	123589	+	1374	751	1075	866	553	527	613
YDR508C	IV	1466453	1468444	-	1992	4629	6315	5770	633	620	753
YDR462W	IV	1386073	1386516	+	444	178	212	211	499	445	574
YDR175C	IV	813193	814152	-	960	364	476	411	741	605	758
YDR186C	IV	832859	835492	-	2634	1354	1815	1627	2410	2131	2763
YDR150W	IV	755628	763874	+	8247	4100	5673	5175	5718	4774	5740
YDR243C	IV	948518	950284	-	1767	358	516	453	487	395	489
YDL182W	IV	133437	134723	+	1287	1767	2142	1852	911	855	1148
YDR362C	IV	1196679	1198697	-	2019	434	554	520	1124	919	1075
YDR232W	IV	927452	929098	+	1647	3435	3913	3759	2815	2705	3381
YDR158W	IV	770357	771454	+	1098	3144	3851	5127	2490	1709	2161
YDR439W	IV	1339676	1340719	+	1044	38	64	81	99	95	117
YDL206W	IV	90176	92464	+	2289	456	650	442	3263	2902	3349
YDR125C	IV	701397	702758	-	1362	144	200	170	886	772	864
YDR338C	IV	1147379	1149466	-	2088	499	678	670	1603	1228	1669
YDR526C	IV	1491075	1491545	-	471	40	36	28	26	31	53
YDR533C	IV	1501447	1502160	-	714	190	306	212	3268	2496	3304
YDR272W	IV	1009010	1009834	+	825	624	779	679	1549	1211	1774
YDR197W	IV	851228	852397	+	1170	311	382	319	1103	975	1155
YDR512C	IV	1470500	1471063	-	564	274	314	318	966	794	957
YDR489W	IV	1431012	1431896	+	885	309	418	356	715	662	774
YDR299W	IV	1059627	1061231	+	1605	719	1061	903	56	40	45
YDL015C	IV	426002	426934	-	933	4750	6039	5000	6632	6075	7142
YDR304C	IV	1071880	1072557	-	678	2882	3558	3154	3694	3240	3996
YDR271C	IV	1008395	1008766	-	372	13	7	19	23	11	19
YDL181W	IV	135179	135436	+	258	148	109	137	972	931	1155
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	909	1275	1113	1456	1330	1527
YDR085C	IV	614288	616150	-	1863	147	216	184	2377	2135	2392
YDL097C	IV	285391	286695	-	1305	2104	2836	2671	3718	3334	4058
YDL139C	IV	211375	212046	-	672	73	105	88	165	181	185
